Component,Category,Files,Lines,Path,Complexity,Priority,Status,Dependencies,Notes
Instruction Interpreter,CPU Execution,1,4590,dyncom/arm_dyncom_interpreter.cpp,CRITICAL,1,Phase 3,GDBStub+Memory+System,70+ ARM/Thumb instructions; main execution loop
Instruction Decoder,CPU Decode,1,503,dyncom/arm_dyncom_dec.cpp,MEDIUM,2,Phase 3,None,Opcode dispatch table
Instruction Translator,CPU Decode,1,2018,dyncom/arm_dyncom_trans.cpp,MEDIUM,2,Phase 3,None,Operand assembly and encoding
Thumb Decoder,CPU Decode,1,390,dyncom/arm_dyncom_thumb.cpp,MEDIUM,2,Phase 3,None,16/32-bit Thumb mode
CPU DynCom,CPU Interface,1,128,dyncom/arm_dyncom.cpp,LOW,3,Phase 3,None,Implements ARM_Interface
CPU DynCom Header,CPU Interface,1,64,dyncom/arm_dyncom.h,LOW,3,Phase 3,None,Class definition
Execution Loop Helper,CPU Execute,1,48,dyncom/arm_dyncom_run.h,LOW,3,Phase 3,None,Helper macros
CPU State Structure,CPU State,1,272,skyeye_common/armstate.h,MEDIUM,2,Phase 2,GDBStub,ARMul_State definition
CPU State Implementation,CPU State,1,620,skyeye_common/armstate.cpp,MEDIUM,2,Phase 3,Memory+System+GDBStub,Memory hooks; CP15; privilege switching
Register Format,CPU State,1,187,skyeye_common/arm_regformat.h,LOW,3,Phase 2,None,Register/CP15/VFP enums
ARM Support Functions,CPU State,1,186,skyeye_common/armsupp.cpp,LOW,2,Phase 3,None,PSR decode; utilities
ARM Support Header,CPU State,1,32,skyeye_common/armsupp.h,LOW,3,Phase 2,None,Function declarations
VFP Main,VFP Float,1,137,skyeye_common/vfp/vfp.cpp,MEDIUM,4,Phase 3,None,VFP init; state management
VFP Header,VFP Float,1,43,skyeye_common/vfp/vfp.h,LOW,4,Phase 2,None,VFP struct definition
VFP Helper,VFP Float,1,426,skyeye_common/vfp/vfp_helper.h,MEDIUM,4,Phase 3,None,Macro utilities; bit extraction
VFP ASM,VFP Float,1,83,skyeye_common/vfp/asm_vfp.h,LOW,4,Phase 3,None,Inline ASM wrappers; soft-float fallback
VFP Single Precision,VFP Float,1,1273,skyeye_common/vfp/vfpsingle.cpp,CRITICAL,4,Phase 3,None,32-bit IEEE 754 ops; FADD/FSUB/FMUL/FDIV/FSQRT
VFP Double Precision,VFP Float,1,1248,skyeye_common/vfp/vfpdouble.cpp,CRITICAL,4,Phase 3,None,64-bit IEEE 754 ops; same ops as single
VFP Instructions,VFP Float,1,1703,skyeye_common/vfp/vfpinstr.cpp,CRITICAL,4,Phase 3,None,VFP instruction dispatch; VLD/VST/VCONV
Exclusive Monitor Header,Sync,1,35,exclusive_monitor.h,LOW,5,Phase 3,None,LDREX/STREX state tracking
Exclusive Monitor Impl,Sync,1,27,exclusive_monitor.cpp,LOW,5,Phase 3,Memory,Atomic memory operations
CPU Interface Header,Interface,1,307,arm_interface.h,LOW,1,Phase 1,Core+Timing,Abstract CPU interface definition
GDBStub Shim,Dependency,1,50,core/gdbstub/gdbstub.h,LOW,0,Phase 2,None,(TO CREATE) Debug stub; all no-ops for iOS
Memory Adapter,Dependency,1,100,core/memory.h,MEDIUM,0,Phase 2,None,(TO VERIFY) Memory::MemorySystem interface
SVC Handler Stub,Dependency,1,50,core/hle/kernel/svc.h,LOW,0,Phase 2,None,(TO CREATE) SWI/SVC dispatch stub
Microprofile Stub,Dependency,1,20,common/microprofile.h,LOW,0,Phase 2,None,(TO CREATE) Empty perf macros
